,0,1
0,20S_170E,"(-30, 170, -20, 180)"
1,30S_110E,"(-40, 110, -30, 120)"
2,00N_000E,"(-10, 0, 0, 10)"
3,40N_150E,"(30, 150, 40, 160)"
4,10N_070E,"(0, 70, 10, 80)"
5,20N_120E,"(10, 120, 20, 130)"
6,20S_130E,"(-30, 130, -20, 140)"
7,50N_020E,"(40, 20, 50, 30)"
8,80N_060E,"(70, 60, 80, 70)"
9,40N_160W,"(30, -160, 40, -150)"
10,40S_140E,"(-50, 140, -40, 150)"
11,50N_100E,"(40, 100, 50, 110)"
12,80N_160W,"(70, -160, 80, -150)"
13,20S_030E,"(-30, 30, -20, 40)"
14,10S_070E,"(-20, 70, -10, 80)"
15,50N_120E,"(40, 120, 50, 130)"
16,40S_040E,"(-50, 40, -40, 50)"
17,40N_050E,"(30, 50, 40, 60)"
18,60N_050W,"(50, -50, 60, -40)"
19,10N_070W,"(0, -70, 10, -60)"
20,40N_020E,"(30, 20, 40, 30)"
21,70N_090W,"(60, -90, 70, -80)"
22,40N_040E,"(30, 40, 40, 50)"
23,70N_110E,"(60, 110, 70, 120)"
24,80N_030E,"(70, 30, 80, 40)"
25,40S_170W,"(-50, -170, -40, -160)"
26,30S_090W,"(-40, -90, -30, -80)"
27,40S_040W,"(-50, -40, -40, -30)"
28,10N_150W,"(0, -150, 10, -140)"
29,10S_140E,"(-20, 140, -10, 150)"
30,20S_100W,"(-30, -100, -20, -90)"
31,70N_180W,"(60, -180, 70, -170)"
32,20N_140E,"(10, 140, 20, 150)"
33,00N_060E,"(-10, 60, 0, 70)"
34,30N_010E,"(20, 10, 30, 20)"
35,60N_170W,"(50, -170, 60, -160)"
36,40N_140E,"(30, 140, 40, 150)"
37,00N_080W,"(-10, -80, 0, -70)"
38,80N_050E,"(70, 50, 80, 60)"
39,20S_050E,"(-30, 50, -20, 60)"
40,60N_040E,"(50, 40, 60, 50)"
41,30N_180W,"(20, -180, 30, -170)"
42,10N_100E,"(0, 100, 10, 110)"
43,50N_070E,"(40, 70, 50, 80)"
44,00N_130E,"(-10, 130, 0, 140)"
45,50S_110E,"(-60, 110, -50, 120)"
46,30N_070E,"(20, 70, 30, 80)"
47,10S_100E,"(-20, 100, -10, 110)"
48,30N_120E,"(20, 120, 30, 130)"
49,00N_020E,"(-10, 20, 0, 30)"
50,20N_130W,"(10, -130, 20, -120)"
51,50S_100W,"(-60, -100, -50, -90)"
52,20N_010W,"(10, -10, 20, 0)"
53,10S_060E,"(-20, 60, -10, 70)"
54,50S_150E,"(-60, 150, -50, 160)"
55,30N_120W,"(20, -120, 30, -110)"
56,20N_080E,"(10, 80, 20, 90)"
57,80N_140W,"(70, -140, 80, -130)"
58,00N_080E,"(-10, 80, 0, 90)"
59,80N_180W,"(70, -180, 80, -170)"
60,80N_120E,"(70, 120, 80, 130)"
61,60N_070E,"(50, 70, 60, 80)"
62,50S_160E,"(-60, 160, -50, 170)"
63,80N_100E,"(70, 100, 80, 110)"
64,20N_010E,"(10, 10, 20, 20)"
65,60N_010E,"(50, 10, 60, 20)"
66,70N_160E,"(60, 160, 70, 170)"
67,30S_110W,"(-40, -110, -30, -100)"
68,20N_080W,"(10, -80, 20, -70)"
69,60N_090W,"(50, -90, 60, -80)"
70,50S_070W,"(-60, -70, -50, -60)"
71,10S_160W,"(-20, -160, -10, -150)"
72,10S_170E,"(-20, 170, -10, 180)"
73,20N_050W,"(10, -50, 20, -40)"
74,00N_120E,"(-10, 120, 0, 130)"
75,30S_080E,"(-40, 80, -30, 90)"
76,70N_090E,"(60, 90, 70, 100)"
77,80N_020W,"(70, -20, 80, -10)"
78,10N_050E,"(0, 50, 10, 60)"
79,30N_020E,"(20, 20, 30, 30)"
80,20S_000E,"(-30, 0, -20, 10)"
81,80N_160E,"(70, 160, 80, 170)"
82,60N_170E,"(50, 170, 60, 180)"
83,70N_120W,"(60, -120, 70, -110)"
84,10S_050E,"(-20, 50, -10, 60)"
85,30S_100W,"(-40, -100, -30, -90)"
86,10S_090E,"(-20, 90, -10, 100)"
87,40N_170W,"(30, -170, 40, -160)"
88,20S_130W,"(-30, -130, -20, -120)"
89,40N_140W,"(30, -140, 40, -130)"
90,00N_160E,"(-10, 160, 0, 170)"
91,00N_050E,"(-10, 50, 0, 60)"
92,20S_010E,"(-30, 10, -20, 20)"
93,30N_170E,"(20, 170, 30, 180)"
94,30S_090E,"(-40, 90, -30, 100)"
95,00N_120W,"(-10, -120, 0, -110)"
96,70N_140W,"(60, -140, 70, -130)"
97,40N_030E,"(30, 30, 40, 40)"
98,20S_040W,"(-30, -40, -20, -30)"
99,40N_150W,"(30, -150, 40, -140)"
100,20N_060W,"(10, -60, 20, -50)"
101,30N_150W,"(20, -150, 30, -140)"
102,60N_040W,"(50, -40, 60, -30)"
103,50N_140W,"(40, -140, 50, -130)"
104,30N_110W,"(20, -110, 30, -100)"
105,50S_010E,"(-60, 10, -50, 20)"
106,00N_130W,"(-10, -130, 0, -120)"
107,60N_150E,"(50, 150, 60, 160)"
108,40N_130E,"(30, 130, 40, 140)"
109,10N_010W,"(0, -10, 10, 0)"
110,00N_150W,"(-10, -150, 0, -140)"
111,10N_090W,"(0, -90, 10, -80)"
112,50S_060W,"(-60, -60, -50, -50)"
113,30S_080W,"(-40, -80, -30, -70)"
114,40S_180W,"(-50, -180, -40, -170)"
115,10S_050W,"(-20, -50, -10, -40)"
116,20S_120W,"(-30, -120, -20, -110)"
117,50N_030W,"(40, -30, 50, -20)"
118,80N_030W,"(70, -30, 80, -20)"
119,10N_120W,"(0, -120, 10, -110)"
120,60N_000E,"(50, 0, 60, 10)"
121,40N_100W,"(30, -100, 40, -90)"
122,10S_020W,"(-20, -20, -10, -10)"
123,40S_170E,"(-50, 170, -40, 180)"
124,30S_100E,"(-40, 100, -30, 110)"
125,80N_070W,"(70, -70, 80, -60)"
126,70N_080W,"(60, -80, 70, -70)"
127,20S_080W,"(-30, -80, -20, -70)"
128,10S_030E,"(-20, 30, -10, 40)"
129,80N_050W,"(70, -50, 80, -40)"
130,60N_080E,"(50, 80, 60, 90)"
131,20N_180W,"(10, -180, 20, -170)"
132,10N_020E,"(0, 20, 10, 30)"
133,30S_160W,"(-40, -160, -30, -150)"
134,60N_090E,"(50, 90, 60, 100)"
135,10S_080W,"(-20, -80, -10, -70)"
136,00N_100E,"(-10, 100, 0, 110)"
137,10S_110E,"(-20, 110, -10, 120)"
138,50S_040W,"(-60, -40, -50, -30)"
139,20N_090W,"(10, -90, 20, -80)"
140,80N_080W,"(70, -80, 80, -70)"
141,10N_010E,"(0, 10, 10, 20)"
142,00N_150E,"(-10, 150, 0, 160)"
143,50N_170W,"(40, -170, 50, -160)"
144,30S_150W,"(-40, -150, -30, -140)"
145,20S_100E,"(-30, 100, -20, 110)"
146,10N_030E,"(0, 30, 10, 40)"
147,70N_020W,"(60, -20, 70, -10)"
148,20S_060E,"(-30, 60, -20, 70)"
149,70N_150E,"(60, 150, 70, 160)"
150,50N_120W,"(40, -120, 50, -110)"
151,10N_160W,"(0, -160, 10, -150)"
152,30N_080W,"(20, -80, 30, -70)"
153,50N_030E,"(40, 30, 50, 40)"
154,20N_160E,"(10, 160, 20, 170)"
155,10S_100W,"(-20, -100, -10, -90)"
156,30S_020E,"(-40, 20, -30, 30)"
157,40N_080W,"(30, -80, 40, -70)"
158,10N_130W,"(0, -130, 10, -120)"
159,50N_020W,"(40, -20, 50, -10)"
160,80N_040E,"(70, 40, 80, 50)"
161,20S_150E,"(-30, 150, -20, 160)"
162,70N_030E,"(60, 30, 70, 40)"
163,00N_010E,"(-10, 10, 0, 20)"
164,40N_060E,"(30, 60, 40, 70)"
165,40S_010E,"(-50, 10, -40, 20)"
166,40S_080E,"(-50, 80, -40, 90)"
167,80N_020E,"(70, 20, 80, 30)"
168,80N_110W,"(70, -110, 80, -100)"
169,30N_000E,"(20, 0, 30, 10)"
170,10S_080E,"(-20, 80, -10, 90)"
171,40N_080E,"(30, 80, 40, 90)"
172,40N_020W,"(30, -20, 40, -10)"
173,70N_060E,"(60, 60, 70, 70)"
174,70N_100E,"(60, 100, 70, 110)"
175,20S_050W,"(-30, -50, -20, -40)"
176,40S_110E,"(-50, 110, -40, 120)"
177,40N_050W,"(30, -50, 40, -40)"
178,10S_040W,"(-20, -40, -10, -30)"
179,50N_050E,"(40, 50, 50, 60)"
180,20S_150W,"(-30, -150, -20, -140)"
181,60N_110W,"(50, -110, 60, -100)"
182,10S_160E,"(-20, 160, -10, 170)"
183,50S_040E,"(-60, 40, -50, 50)"
184,60N_120E,"(50, 120, 60, 130)"
185,70N_120E,"(60, 120, 70, 130)"
186,30S_070W,"(-40, -70, -30, -60)"
187,00N_030E,"(-10, 30, 0, 40)"
188,00N_040E,"(-10, 40, 0, 50)"
189,50S_080W,"(-60, -80, -50, -70)"
190,60N_130W,"(50, -130, 60, -120)"
191,60N_120W,"(50, -120, 60, -110)"
192,30N_140W,"(20, -140, 30, -130)"
193,50S_030E,"(-60, 30, -50, 40)"
194,70N_040W,"(60, -40, 70, -30)"
195,50N_070W,"(40, -70, 50, -60)"
196,00N_170W,"(-10, -170, 0, -160)"
197,30N_100W,"(20, -100, 30, -90)"
198,30S_010W,"(-40, -10, -30, 0)"
199,40N_010E,"(30, 10, 40, 20)"
200,00N_040W,"(-10, -40, 0, -30)"
201,50N_010E,"(40, 10, 50, 20)"
202,50S_120E,"(-60, 120, -50, 130)"
203,30S_170W,"(-40, -170, -30, -160)"
204,80N_090W,"(70, -90, 80, -80)"
205,10S_120W,"(-20, -120, -10, -110)"
206,40S_000E,"(-50, 0, -40, 10)"
207,50N_040W,"(40, -40, 50, -30)"
208,10N_150E,"(0, 150, 10, 160)"
209,00N_090W,"(-10, -90, 0, -80)"
210,40S_150E,"(-50, 150, -40, 160)"
211,60N_030W,"(50, -30, 60, -20)"
212,30S_140E,"(-40, 140, -30, 150)"
213,30N_110E,"(20, 110, 30, 120)"
214,20S_160E,"(-30, 160, -20, 170)"
215,50S_050E,"(-60, 50, -50, 60)"
216,40N_040W,"(30, -40, 40, -30)"
217,00N_180W,"(-10, -180, 0, -170)"
218,40S_160E,"(-50, 160, -40, 170)"
219,20S_140E,"(-30, 140, -20, 150)"
220,20S_020W,"(-30, -20, -20, -10)"
221,20S_090E,"(-30, 90, -20, 100)"
222,50S_130W,"(-60, -130, -50, -120)"
223,60N_160W,"(50, -160, 60, -150)"
224,30S_120E,"(-40, 120, -30, 130)"
225,30N_130W,"(20, -130, 30, -120)"
226,60N_140W,"(50, -140, 60, -130)"
227,00N_110W,"(-10, -110, 0, -100)"
228,10S_130W,"(-20, -130, -10, -120)"
229,10S_110W,"(-20, -110, -10, -100)"
230,80N_100W,"(70, -100, 80, -90)"
231,00N_140E,"(-10, 140, 0, 150)"
232,40S_050W,"(-50, -50, -40, -40)"
233,70N_080E,"(60, 80, 70, 90)"
234,50N_090W,"(40, -90, 50, -80)"
235,70N_010W,"(60, -10, 70, 0)"
236,80N_120W,"(70, -120, 80, -110)"
237,20S_030W,"(-30, -30, -20, -20)"
238,50N_060E,"(40, 60, 50, 70)"
239,50N_150W,"(40, -150, 50, -140)"
240,20N_100E,"(10, 100, 20, 110)"
241,20N_030W,"(10, -30, 20, -20)"
242,80N_010W,"(70, -10, 80, 0)"
243,10S_040E,"(-20, 40, -10, 50)"
244,40N_180W,"(30, -180, 40, -170)"
245,80N_040W,"(70, -40, 80, -30)"
246,60N_060E,"(50, 60, 60, 70)"
247,20N_050E,"(10, 50, 20, 60)"
248,00N_070E,"(-10, 70, 0, 80)"
249,70N_130E,"(60, 130, 70, 140)"
250,20S_090W,"(-30, -90, -20, -80)"
251,00N_170E,"(-10, 170, 0, 180)"
252,30S_030E,"(-40, 30, -30, 40)"
253,60N_100W,"(50, -100, 60, -90)"
254,50N_150E,"(40, 150, 50, 160)"
255,80N_130E,"(70, 130, 80, 140)"
256,10N_170E,"(0, 170, 10, 180)"
257,10N_130E,"(0, 130, 10, 140)"
258,40N_120E,"(30, 120, 40, 130)"
259,10N_040E,"(0, 40, 10, 50)"
260,10S_000E,"(-20, 0, -10, 10)"
261,40N_090W,"(30, -90, 40, -80)"
262,00N_060W,"(-10, -60, 0, -50)"
263,60N_130E,"(50, 130, 60, 140)"
264,20N_070W,"(10, -70, 20, -60)"
265,60N_160E,"(50, 160, 60, 170)"
266,40S_090W,"(-50, -90, -40, -80)"
267,30N_040E,"(20, 40, 30, 50)"
268,10S_070W,"(-20, -70, -10, -60)"
269,30N_150E,"(20, 150, 30, 160)"
270,20N_120W,"(10, -120, 20, -110)"
271,30S_040W,"(-40, -40, -30, -30)"
272,70N_050W,"(60, -50, 70, -40)"
273,60N_150W,"(50, -150, 60, -140)"
274,60N_100E,"(50, 100, 60, 110)"
275,10S_150E,"(-20, 150, -10, 160)"
276,10N_160E,"(0, 160, 10, 170)"
277,10N_040W,"(0, -40, 10, -30)"
278,10S_140W,"(-20, -140, -10, -130)"
279,20N_110E,"(10, 110, 20, 120)"
280,00N_140W,"(-10, -140, 0, -130)"
281,40S_160W,"(-50, -160, -40, -150)"
282,30S_120W,"(-40, -120, -30, -110)"
283,30S_060W,"(-40, -60, -30, -50)"
284,50S_090W,"(-60, -90, -50, -80)"
285,20N_040E,"(10, 40, 20, 50)"
286,10S_120E,"(-20, 120, -10, 130)"
287,50N_060W,"(40, -60, 50, -50)"
288,30N_130E,"(20, 130, 30, 140)"
289,40S_100E,"(-50, 100, -40, 110)"
290,70N_140E,"(60, 140, 70, 150)"
291,80N_150E,"(70, 150, 80, 160)"
292,30N_100E,"(20, 100, 30, 110)"
293,50S_070E,"(-60, 70, -50, 80)"
294,50N_080W,"(40, -80, 50, -70)"
295,40S_100W,"(-50, -100, -40, -90)"
296,10S_170W,"(-20, -170, -10, -160)"
297,40S_120E,"(-50, 120, -40, 130)"
298,40N_070W,"(30, -70, 40, -60)"
299,20N_000E,"(10, 0, 20, 10)"
300,50N_010W,"(40, -10, 50, 0)"
301,50N_040E,"(40, 40, 50, 50)"
302,50S_010W,"(-60, -10, -50, 0)"
303,50N_110E,"(40, 110, 50, 120)"
304,20N_020W,"(10, -20, 20, -10)"
305,50S_180W,"(-60, -180, -50, -170)"
306,00N_020W,"(-10, -20, 0, -10)"
307,50N_090E,"(40, 90, 50, 100)"
308,50S_030W,"(-60, -30, -50, -20)"
309,50S_170E,"(-60, 170, -50, 180)"
310,40N_110W,"(30, -110, 40, -100)"
311,40N_100E,"(30, 100, 40, 110)"
312,70N_100W,"(60, -100, 70, -90)"
313,20S_020E,"(-30, 20, -20, 30)"
314,20S_110E,"(-30, 110, -20, 120)"
315,30N_010W,"(20, -10, 30, 0)"
316,20S_120E,"(-30, 120, -20, 130)"
317,40N_060W,"(30, -60, 40, -50)"
318,50S_110W,"(-60, -110, -50, -100)"
319,40S_030W,"(-50, -30, -40, -20)"
320,70N_170W,"(60, -170, 70, -160)"
321,10N_090E,"(0, 90, 10, 100)"
322,30N_060E,"(20, 60, 30, 70)"
323,10N_060W,"(0, -60, 10, -50)"
324,30N_050W,"(20, -50, 30, -40)"
325,10S_020E,"(-20, 20, -10, 30)"
326,20N_150E,"(10, 150, 20, 160)"
327,20N_170E,"(10, 170, 20, 180)"
328,50N_170E,"(40, 170, 50, 180)"
329,10S_060W,"(-20, -60, -10, -50)"
330,30N_030E,"(20, 30, 30, 40)"
331,10S_010E,"(-20, 10, -10, 20)"
332,80N_170E,"(70, 170, 80, 180)"
333,40S_030E,"(-50, 30, -40, 40)"
334,60N_070W,"(50, -70, 60, -60)"
335,50S_130E,"(-60, 130, -50, 140)"
336,70N_050E,"(60, 50, 70, 60)"
337,40N_170E,"(30, 170, 40, 180)"
338,80N_080E,"(70, 80, 80, 90)"
339,30N_040W,"(20, -40, 30, -30)"
340,40S_130E,"(-50, 130, -40, 140)"
341,10N_050W,"(0, -50, 10, -40)"
342,10N_000E,"(0, 0, 10, 10)"
343,60N_020E,"(50, 20, 60, 30)"
344,50N_160E,"(40, 160, 50, 170)"
345,30S_060E,"(-40, 60, -30, 70)"
346,70N_030W,"(60, -30, 70, -20)"
347,10N_180W,"(0, -180, 10, -170)"
348,50N_160W,"(40, -160, 50, -150)"
349,50S_120W,"(-60, -120, -50, -110)"
350,20N_040W,"(10, -40, 20, -30)"
351,00N_110E,"(-10, 110, 0, 120)"
352,40S_120W,"(-50, -120, -40, -110)"
353,30S_040E,"(-40, 40, -30, 50)"
354,80N_140E,"(70, 140, 80, 150)"
355,50N_050W,"(40, -50, 50, -40)"
356,30S_160E,"(-40, 160, -30, 170)"
357,10S_010W,"(-20, -10, -10, 0)"
358,40S_150W,"(-50, -150, -40, -140)"
359,60N_180W,"(50, -180, 60, -170)"
360,30S_050E,"(-40, 50, -30, 60)"
361,40S_080W,"(-50, -80, -40, -70)"
362,40N_010W,"(30, -10, 40, 0)"
363,40S_070W,"(-50, -70, -40, -60)"
364,30N_090W,"(20, -90, 30, -80)"
365,60N_010W,"(50, -10, 60, 0)"
366,40S_090E,"(-50, 90, -40, 100)"
367,30N_020W,"(20, -20, 30, -10)"
368,50N_180W,"(40, -180, 50, -170)"
369,00N_010W,"(-10, -10, 0, 0)"
370,50N_130E,"(40, 130, 50, 140)"
371,30N_090E,"(20, 90, 30, 100)"
372,30S_150E,"(-40, 150, -30, 160)"
373,60N_110E,"(50, 110, 60, 120)"
374,30S_140W,"(-40, -140, -30, -130)"
375,40S_060W,"(-50, -60, -40, -50)"
376,50S_140E,"(-60, 140, -50, 150)"
377,10N_020W,"(0, -20, 10, -10)"
378,20N_110W,"(10, -110, 20, -100)"
379,70N_160W,"(60, -160, 70, -150)"
380,50S_060E,"(-60, 60, -50, 70)"
381,20N_070E,"(10, 70, 20, 80)"
382,70N_000E,"(60, 0, 70, 10)"
383,40S_140W,"(-50, -140, -40, -130)"
384,10N_170W,"(0, -170, 10, -160)"
385,20N_060E,"(10, 60, 20, 70)"
386,50N_130W,"(40, -130, 50, -120)"
387,10N_100W,"(0, -100, 10, -90)"
388,80N_130W,"(70, -130, 80, -120)"
389,20S_110W,"(-30, -110, -20, -100)"
390,60N_030E,"(50, 30, 60, 40)"
391,20S_040E,"(-30, 40, -20, 50)"
392,40N_130W,"(30, -130, 40, -120)"
393,40S_020W,"(-50, -20, -40, -10)"
394,10N_140E,"(0, 140, 10, 150)"
395,20N_160W,"(10, -160, 20, -150)"
396,20S_070E,"(-30, 70, -20, 80)"
397,70N_020E,"(60, 20, 70, 30)"
398,20S_160W,"(-30, -160, -20, -150)"
399,30N_060W,"(20, -60, 30, -50)"
400,00N_030W,"(-10, -30, 0, -20)"
401,10S_150W,"(-20, -150, -10, -140)"
402,00N_070W,"(-10, -70, 0, -60)"
403,10S_130E,"(-20, 130, -10, 140)"
404,50S_090E,"(-60, 90, -50, 100)"
405,30N_070W,"(20, -70, 30, -60)"
406,00N_050W,"(-10, -50, 0, -40)"
407,10N_140W,"(0, -140, 10, -130)"
408,30N_140E,"(20, 140, 30, 150)"
409,30S_070E,"(-40, 70, -30, 80)"
410,20N_170W,"(10, -170, 20, -160)"
411,80N_000E,"(70, 0, 80, 10)"
412,20S_010W,"(-30, -10, -20, 0)"
413,20N_140W,"(10, -140, 20, -130)"
414,20N_130E,"(10, 130, 20, 140)"
415,50S_150W,"(-60, -150, -50, -140)"
416,10N_120E,"(0, 120, 10, 130)"
417,20S_060W,"(-30, -60, -20, -50)"
418,70N_060W,"(60, -60, 70, -50)"
419,30S_130E,"(-40, 130, -30, 140)"
420,70N_070E,"(60, 70, 70, 80)"
421,20S_080E,"(-30, 80, -20, 90)"
422,40N_090E,"(30, 90, 40, 100)"
423,10N_030W,"(0, -30, 10, -20)"
424,70N_010E,"(60, 10, 70, 20)"
425,70N_110W,"(60, -110, 70, -100)"
426,40N_110E,"(30, 110, 40, 120)"
427,30N_080E,"(20, 80, 30, 90)"
428,80N_090E,"(70, 90, 80, 100)"
429,20N_090E,"(10, 90, 20, 100)"
430,30N_160E,"(20, 160, 30, 170)"
431,60N_140E,"(50, 140, 60, 150)"
432,50S_160W,"(-60, -160, -50, -150)"
433,20N_020E,"(10, 20, 20, 30)"
434,50S_050W,"(-60, -50, -50, -40)"
435,10N_080W,"(0, -80, 10, -70)"
436,70N_040E,"(60, 40, 70, 50)"
437,10S_030W,"(-20, -30, -10, -20)"
438,10S_090W,"(-20, -90, -10, -80)"
439,50S_100E,"(-60, 100, -50, 110)"
440,70N_130W,"(60, -130, 70, -120)"
441,30S_170E,"(-40, 170, -30, 180)"
442,40S_130W,"(-50, -130, -40, -120)"
443,50S_140W,"(-60, -140, -50, -130)"
444,50S_020W,"(-60, -20, -50, -10)"
445,80N_110E,"(70, 110, 80, 120)"
446,30S_050W,"(-40, -50, -30, -40)"
447,70N_150W,"(60, -150, 70, -140)"
448,40N_120W,"(30, -120, 40, -110)"
449,40S_060E,"(-50, 60, -40, 70)"
450,10N_060E,"(0, 60, 10, 70)"
451,30S_000E,"(-40, 0, -30, 10)"
452,80N_010E,"(70, 10, 80, 20)"
453,80N_170W,"(70, -170, 80, -160)"
454,40N_030W,"(30, -30, 40, -20)"
455,10N_080E,"(0, 80, 10, 90)"
456,30S_010E,"(-40, 10, -30, 20)"
457,10N_110W,"(0, -110, 10, -100)"
458,00N_090E,"(-10, 90, 0, 100)"
459,30N_050E,"(20, 50, 30, 60)"
460,50S_170W,"(-60, -170, -50, -160)"
461,50N_100W,"(40, -100, 50, -90)"
462,30S_180W,"(-40, -180, -30, -170)"
463,50S_080E,"(-60, 80, -50, 90)"
464,80N_150W,"(70, -150, 80, -140)"
465,40N_160E,"(30, 160, 40, 170)"
466,40S_020E,"(-50, 20, -40, 30)"
467,20S_070W,"(-30, -70, -20, -60)"
468,20N_150W,"(10, -150, 20, -140)"
469,50S_020E,"(-60, 20, -50, 30)"
470,60N_060W,"(50, -60, 60, -50)"
471,60N_050E,"(50, 50, 60, 60)"
472,10N_110E,"(0, 110, 10, 120)"
473,20S_140W,"(-30, -140, -20, -130)"
474,60N_080W,"(50, -80, 60, -70)"
475,50S_000E,"(-60, 0, -50, 10)"
476,50N_140E,"(40, 140, 50, 150)"
477,30S_030W,"(-40, -30, -30, -20)"
478,40S_010W,"(-50, -10, -40, 0)"
479,40S_110W,"(-50, -110, -40, -100)"
480,20S_180W,"(-30, -180, -20, -170)"
481,50N_000E,"(40, 0, 50, 10)"
482,20N_100W,"(10, -100, 20, -90)"
483,30N_030W,"(20, -30, 30, -20)"
484,00N_160W,"(-10, -160, 0, -150)"
485,50N_110W,"(40, -110, 50, -100)"
486,30S_130W,"(-40, -130, -30, -120)"
487,40N_000E,"(30, 0, 40, 10)"
488,80N_060W,"(70, -60, 80, -50)"
489,40S_050E,"(-50, 50, -40, 60)"
490,30N_170W,"(20, -170, 30, -160)"
491,40N_070E,"(30, 70, 40, 80)"
492,80N_070E,"(70, 70, 80, 80)"
493,00N_100W,"(-10, -100, 0, -90)"
494,70N_070W,"(60, -70, 70, -60)"
495,20N_030E,"(10, 30, 20, 40)"
496,50N_080E,"(40, 80, 50, 90)"
497,40S_070E,"(-50, 70, -40, 80)"
498,20S_170W,"(-30, -170, -20, -160)"
499,70N_170E,"(60, 170, 70, 180)"
500,60N_020W,"(50, -20, 60, -10)"
501,10S_180W,"(-20, -180, -10, -170)"
502,30S_020W,"(-40, -20, -30, -10)"
503,30N_160W,"(20, -160, 30, -150)"